날짜,종가,시가,고가,저가,거래량,변동 %,일간수익률,누적수익률,5일이동평균,20일이동평균,60일이동평균,연환산변동성,고점,낙폭
2002-10-18,884.4,879.2,886.7,866.6,,0.59,0.005914467697907044,-0.3922484881803171,869.26,831.5949999999999,877.34,0.254648974577775,1527.5,-0.42101472995090017
2002-10-21,899.7,884.4,900.7,873.1,,1.73,0.017299864314789692,-0.38173446948872825,880.9200000000001,834.8950000000001,878.1216666666666,0.2552268095968247,1527.5,-0.4109983633387888
2002-10-22,890.2,899.7,899.7,882.4,,-1.06,-0.010559075247304706,-0.3882627817482115,882.7,838.4399999999999,877.975,0.25492349777777906,1527.5,-0.41721767594108017
2002-10-23,896.1,890.2,896.1,873.8,,0.66,0.006627724106942123,-0.3842083562396904,889.9200000000001,841.26,877.8633333333333,0.2549959242805695,1527.5,-0.4133551554828151
2002-10-24,882.5,896.1,902.9,879.0,,-1.52,-0.015176877580627135,-0.3935541506322138,890.5800000000002,842.635,877.3783333333333,0.2554083230283994,1527.5,-0.42225859247135844
2002-10-25,897.6,882.5,897.7,877.0,,1.71,0.01711048158640227,-0.3831775700934562,893.22,846.1450000000001,877.5933333333334,0.2556222344548151,1527.5,-0.41237315875613745
2002-10-28,890.2,897.6,907.4,886.1,,-0.82,-0.008244206773618479,-0.3882627817482115,891.32,849.89,878.0266666666668,0.25568879420542223,1527.5,-0.41721767594108017
2002-10-29,882.1,890.2,890.6,867.9,,-0.91,-0.00909907885868344,-0.39382902693787614,889.7,851.6,878.8183333333333,0.25477705865635714,1527.5,-0.42252045826513907
2002-10-30,890.7,882.1,895.3,879.2,,0.97,0.009749461512300162,-0.38791918636613343,888.6200000000001,854.74,879.3366666666666,0.2544494242286584,1527.5,-0.41689034369885436
2002-10-31,885.8,890.7,898.8,879.8,,-0.55,-0.005501291119344387,-0.3912864211104985,889.28,858.0799999999999,879.4866666666668,0.25449668880251536,1527.5,-0.4200981996726678
2002-11-01,901.0,885.8,903.4,877.7,,1.72,0.017159629713253688,-0.38084112149532523,889.96,863.1,879.4116666666667,0.254026507897321,1527.5,-0.41014729950900164
2002-11-04,908.4,901.0,924.6,901.0,,0.82,0.008213096559378519,-0.37575590984056984,893.6,869.2550000000001,879.4083333333333,0.2541562314269313,1527.5,-0.4053027823240589
2002-11-05,915.4,908.4,915.8,904.9,,0.77,0.007705856450902715,-0.3709455744914769,900.2599999999999,875.1,879.6016666666667,0.2538509646193878,1527.5,-0.40072013093289693
